fae	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03126" target="_blank">TIGR03126</a> - formaldehyde-activating enzyme
fdhA_non_GSH	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02819" target="_blank">TIGR02819</a> - formaldehyde dehydrogenase, glutathione-independent
one_C_fhcD	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03119" target="_blank">TIGR03119</a> - formylmethanofuran--tetrahydromethanopterin N-formyltransferase
one_C_mch	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03120" target="_blank">TIGR03120</a> - methenyltetrahydromethanopterin cyclohydrolase
adh_III_F_hyde	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02818" target="_blank">TIGR02818</a> - S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase
fghA_ester_D	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02821" target="_blank">TIGR02821</a> - S-formylglutathione hydrolase
mycoS_dep_FDH	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR03451" target="_blank">TIGR03451</a> - S-(hydroxymethyl)mycothiol dehydrogenase
fdh-alpha	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR01591" target="_blank">TIGR01591</a> - formate dehydrogenase, alpha subunit
fdh-beta	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR01582" target="_blank">TIGR01582</a> - formate dehydrogenase, beta subunit
fdh-gamma	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR01583" target="_blank">TIGR01583</a> - formate dehydrogenase, gamma subunit
NDMA_methanol	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR04266" target="_blank">TIGR04266</a> - NDMA-dependent methanol dehydrogenase
pqq	methanol dehydrogenase (EC <a href="https://enzyme.expasy.org/EC/1.1.2.7" target="_blank">1.1.2.7</a>)
madA	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02659" target="_blank">TIGR02659</a> - methylamine dehydrogenase (amicyanin) light chain
madB	<a href="https://www.ncbi.nlm.nih.gov/Structure/cdd/TIGR02658" target="_blank">TIGR02658</a> - methylamine dehydrogenase (amicyanin) heavy chain
