#ENV_ID	MT_ID	ID_DISP	CAT_ID	CAT_DISP	SUBCAT(s)	SUBCAT(s)_COL_DISP
amoA	pmoA-amoA	amoA	N	Nitrogen	Ammonia oxidation	Am-Ox
amoB	pmoB-amoB	amoB	N	Nitrogen	Ammonia oxidation	Am-Ox
amoC	pmoC-amoC	amoC	N	Nitrogen	Ammonia oxidation	Am-Ox
hzoA	hdh	hzoA	N	Nitrogen	Anammox	AnAm-Ox
hzsA	hzsA	hzsA	N	Nitrogen	Anammox	AnAm-Ox
anfD_nitrog	nifD	anfD	N	Nitrogen	N2 fixation	N2-F
anfK_nitrog	nifK	anfK	N	Nitrogen	N2 fixation	N2-F
anfG_nitrog	anfG	anfG	N	Nitrogen	N2 fixation	N2-F
nifD	nifD	nifD	N	Nitrogen	N2 fixation	N2-F
nifK	nifK	nifK	N	Nitrogen	N2 fixation	N2-F
nifH	nifH	nifH	N	Nitrogen	N2 fixation	N2-F
vnfD_nitrog	vnfD	vnfD	N	Nitrogen	N2 fixation	N2-F
vnfK_nitrog	vnfK	vnfK	N	Nitrogen	N2 fixation	N2-F
vnfG_nitrog	vnfG	vnfG	N	Nitrogen	N2 fixation	N2-F
napA	napA	napA	N	Nitrogen	Nitrate reduction	NO3-R
napB	napB	napB	N	Nitrogen	Nitrate reduction	NO3-R
narG	narG	narG	N	Nitrogen	Nitrate reduction	NO3-R
norB	norB	norB	N	Nitrogen	Nitric oxide reduction	NO-R
norC	norC	norC	N	Nitrogen	Nitric oxide reduction	NO-R
nxrA	narG	nxrA	N	Nitrogen	Nitrite oxidation	NO2-Ox
nxrB	narH	nxrB	N	Nitrogen	Nitrite oxidation	NO2-Ox
cyt_c552_large_NrfA	nrfA	nrfA	N	Nitrogen	Nitrite reduction	NO2-R
cyt_c552_small_NrfH	nrfH	nrfH	N	Nitrogen	Nitrite reduction	NO2-R
nirB	nirB	nirB	N	Nitrogen	Nitrite reduction	NO2-R
nirD	nirD	nirD	N	Nitrogen	Nitrite reduction	NO2-R
nirK	nirK	nirK	N	Nitrogen	Nitrite reduction	NO2-R
nirS	nirS	nirS	N	Nitrogen	Nitrite reduction	NO2-R
nrfD	nrfD	nrfD	N	Nitrogen	Nitrite reduction	NO2-R
octR	octR	octR	N	Nitrogen	Nitrite reduction	NO2-R
nosD	nosD	nosD	N	Nitrogen	Nitrous oxide reduction	N2O-R
nosZ	nosZ	nosZ	N	Nitrogen	Nitrous oxide reduction	N2O-R
aprA	aprA	aprA	S	Sulfur	Sulfate reduction	SO4-R
cysC	cysC	cysC	S	Sulfur	Sulfate reduction	SO4-R
